,0,1,2,3,4,5,6
157,2011.5.22 (일),롯데,LG,4:7,4,7,잠실
158,2011.5.22 (일),두산,삼성,4:5,4,5,대구
159,2011.5.22 (일),넥센,SK,2:4,2,4,문학
160,2011.5.24 (화),KIA,넥센,4:3,4,3,목동
161,2011.5.24 (화),두산,LG,5:3,5,3,잠실
162,2011.5.24 (화),SK,한화,2:3,2,3,대전
163,2011.5.24 (화),삼성,롯데,3:4,3,4,사직
164,2011.5.25 (수),KIA,넥센,8:1,8,1,목동
165,2011.5.25 (수),두산,LG,3:7,3,7,잠실
166,2011.5.25 (수),SK,한화,9:1,9,1,대전
167,2011.5.25 (수),삼성,롯데,3:3,3,3,사직
168,2011.5.26 (목),KIA,넥센,5:1,5,1,목동
169,2011.5.26 (목),두산,LG,1:2,1,2,잠실
170,2011.5.26 (목),SK,한화,8:6,8,6,대전
171,2011.5.27 (금),한화,두산,11:10,11,10,잠실
172,2011.5.27 (금),LG,넥센,3:4,3,4,목동
173,2011.5.27 (금),롯데,KIA,3:11,3,11,광주
174,2011.5.27 (금),SK,삼성,3:9,3,9,대구
175,2011.5.28 (토),한화,두산,6:0,6,0,잠실
176,2011.5.28 (토),롯데,KIA,9:0,9,0,광주
177,2011.5.28 (토),SK,삼성,2:3,2,3,대구
178,2011.5.28 (토),LG,넥센,4:3,4,3,목동
179,2011.5.29 (일),한화,두산,3:6,3,6,잠실
180,2011.5.29 (일),롯데,KIA,5:7,5,7,광주
181,2011.5.29 (일),SK,삼성,4:0,4,0,대구
182,2011.5.29 (일),LG,넥센,4:8,4,8,목동
183,2011.5.31 (화),KIA,LG,1:4,1,4,잠실
184,2011.5.31 (화),두산,SK,5:1,5,1,문학
185,2011.5.31 (화),삼성,한화,3:2,3,2,대전
186,2011.5.31 (화),넥센,롯데,7:8,7,8,사직
187,2011.6.1 (수),KIA,LG,6:1,6,1,잠실
188,2011.6.1 (수),두산,SK,2:1,2,1,문학
189,2011.6.1 (수),삼성,한화,5:6,5,6,대전
190,2011.6.1 (수),넥센,롯데,2:5,2,5,사직
191,2011.6.2 (목),KIA,LG,8:0,8,0,잠실
192,2011.6.2 (목),두산,SK,5:6,5,6,문학
193,2011.6.2 (목),삼성,한화,3:4,3,4,대전
194,2011.6.2 (목),넥센,롯데,11:10,11,10,사직
